"","Millas.galon","Cilindros","Caballos.fuerza","Tipo.motor","Transmision"
"Mazda RX4",21,6,110,0,1
"Mazda RX4 Wag",21,6,110,0,1
"Datsun 710",22.8,4,93,1,1
"Hornet 4 Drive",21.4,6,110,1,0
"Hornet Sportabout",18.7,8,175,0,0
"Valiant",18.1,6,105,1,0
"Duster 360",14.3,8,245,0,0
"Merc 240D",24.4,4,62,1,0
"Merc 230",22.8,4,95,1,0
"Merc 280",19.2,6,123,1,0
"Merc 280C",17.8,6,123,1,0
"Merc 450SE",16.4,8,180,0,0
"Merc 450SL",17.3,8,180,0,0
"Merc 450SLC",15.2,8,180,0,0
"Cadillac Fleetwood",10.4,8,205,0,0
"Lincoln Continental",10.4,8,215,0,0
"Chrysler Imperial",14.7,8,230,0,0
"Fiat 128",32.4,4,66,1,1
"Honda Civic",30.4,4,52,1,1
"Toyota Corolla",33.9,4,65,1,1
"Toyota Corona",21.5,4,97,1,0
"Dodge Challenger",15.5,8,150,0,0
"AMC Javelin",15.2,8,150,0,0
"Camaro Z28",13.3,8,245,0,0
"Pontiac Firebird",19.2,8,175,0,0
"Fiat X1-9",27.3,4,66,1,1
"Porsche 914-2",26,4,91,0,1
"Lotus Europa",30.4,4,113,1,1
"Ford Pantera L",15.8,8,264,0,1
"Ferrari Dino",19.7,6,175,0,1
"Maserati Bora",15,8,335,0,1
"Volvo 142E",21.4,4,109,1,1
